,Demand,Lost Load,RES production,Bat Inflow,Bat Outflow,Curtailment,Genset production,Bat SoC,Diesel consumption
2011-01-01 20:28:00,163.6,0.0,0.0,0.0002901335217253189,1357.6006929146654,3.3650396975374134e-05,9.843393281899027e-08,243692.14096803108,3.334482819071486e-08
2011-01-01 20:29:00,163.2,0.0,0.0,0.0002848449044462508,1308.3025653701172,3.370260446508011e-05,9.759491667038921e-08,242314.9806435073,3.3060608628180626e-08
2011-01-01 20:30:00,162.5,0.0,0.0,0.00030949777558399085,1219.7031187578932,3.358918653083619e-05,9.239480113264011e-08,241031.082917785,3.1299051874200584e-08
2011-01-01 20:31:00,163.9,0.0,0.0,0.000307301216006888,1221.904869180594,3.364146998631273e-05,9.268312662985239e-08,239744.86755794342,3.139672311309363e-08
2011-01-01 20:32:00,163.5,0.0,0.0,0.0002904363970575724,1210.6922643442551,3.3672978777338494e-05,9.728474427733768e-08,238470.45492402193,3.2955536679314936e-08
2011-01-01 20:33:00,160.5,0.0,0.0,0.0002864413641590008,1206.4984575034186,3.36366239634785e-05,9.764441253851886e-08,237200.45681982185,3.3077375521178475e-08
2011-01-01 20:34:00,160.6,0.0,0.0,0.00028382388573515525,1222.101607093743,3.3702939016644576e-05,9.779804625044651e-08,235914.03434514534,3.312941946153337e-08
2011-01-01 20:35:00,161.4,0.0,0.0,0.00030604606623866985,1189.7999203891175,3.351465944670804e-05,9.188785280298586e-08,234661.61366705847,3.1127321410225565e-08
2011-01-01 20:36:00,157.3,0.0,0.0,0.000298775603240097,1201.100797797614,3.364319454825642e-05,9.518348755415381e-08,233397.29732163675,3.224372884625807e-08
2011-01-01 20:37:00,155.5,0.0,0.0,0.00028675042827017855,1186.0023413285446,3.367603706859931e-05,9.731191707082533e-08,232148.8740768617,3.2964741555157634e-08
2011-01-01 20:38:00,156.1,0.0,0.0,0.0002849770800024574,1123.5972081333034,3.3647497837506515e-05,9.759536888507347e-08,230966.14044429173,3.306076181743681e-08
2011-01-01 20:39:00,155.7,0.0,0.0,0.00028411929746339354,1083.7016291221264,3.371006572717553e-05,9.769040854981657e-08,229825.40215723438,3.309295682581862e-08
2011-01-01 20:40:00,159.5,0.0,0.0,0.00030590616258948256,1228.5013449107653,3.349443996111078e-05,8.937622904923972e-08,228532.24313741285,3.0276500355433514e-08
2011-01-01 20:41:00,159.4,0.0,0.0,0.0003015278247927083,1236.401307736692,3.362047343840096e-05,9.345010481048124e-08,227230.7683631057,3.165653956994622e-08
